,Country ,district_name,work_streams,category,cluster_name,village_name,cohort,cycle,hot_pepper_tins_organic_pesticides,onions_bags_organic_pesticides,Spinach,AFRICAN SPIDER PLANT,Amaranths,Tomatoes,BLACK NIGHT SHADE,Purple Eggplants,Green Pepper,White Eggplants,Cabbage,Nakati,Sukuma Wiki
0,Uganda,Kitagwenda,Standard,HWG,Bujumiro,Bujumiro_A,2025,1,1.2,117,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
1,Uganda,Kitagwenda,Standard,HWG,Bujumiro,Bujumiro_B,2025,1,1.2,77,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
2,Uganda,Kitagwenda,Standard,HWG,Bujumiro,Kanyamburara,2025,1,1.2,159,2,,1,2.0,2.0,1.0,1,1.0,2,1.0,1
3,Uganda,Kitagwenda,Standard,HWG,Bujumiro,Kyarubingo,2025,1,1.2,97,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
4,Uganda,Kitagwenda,Standard,HWG,Bujumiro,Nyabwina_Buhanda,2025,1,1.2,58,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
5,Uganda,Kitagwenda,standard,HWG,Muyenga,Muyenga_Central,2025,1,0.6,42,1,,1,2.0,1.0,,1,1.0,1,1.0,1
6,Uganda,Kitagwenda,standard,HWG,Muyenga,Muyenga_TC,2025,1,0.6,55,1,,1,2.0,1.0,,1,1.0,1,1.0,1
7,Uganda,Kitagwenda,standard,HWG,Muyenga,Nganiko_2,2025,1,0.6,66,1,,1,2.0,1.0,,1,1.0,1,1.0,1
8,Uganda,Kitagwenda,standard,HWG,Muyenga,Nganiko_3,2025,1,0.6,60,1,,1,2.0,1.0,,1,1.0,1,1.0,1
9,Uganda,Kitagwenda,standard,HWG,Muyenga,Zanzibar,2025,1,0.6,57,1,,1,2.0,1.0,,1,1.0,1,1.0,1
10,Uganda,Kitagwenda,standard,HWG,Nganiko,Kagorogoro_A,2025,1,0.6,45,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
11,Uganda,Kitagwenda,standard,HWG,Nganiko,Kagorogoro_B,2025,1,0.6,39,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
12,Uganda,Kitagwenda,standard,HWG,Nganiko,Kahenda,2025,1,0.6,52,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
13,Uganda,Kitagwenda,standard,HWG,Nganiko,Kemihoko_A,2025,1,0.6,59,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
14,Uganda,Kitagwenda,standard,HWG,Nganiko,Kemihoko_B,2025,1,0.6,40,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
15,Uganda,Kitagwenda,standard,HWG,Nganiko,Nganiko_1,2025,1,0.6,64,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
16,Uganda,Kitagwenda,standard,HWG,Nganiko,Nganiko_Central,2025,1,0.6,51,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
17,Uganda,Kitagwenda,standard,HWG,Nganiko,Nganiko_TC,2025,1,0.6,63,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
18,Uganda,Kitagwenda,standard,HWG,Nyakacwamba,Kapapari,2025,1,1.1,93,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
19,Uganda,Kitagwenda,standard,HWG,Nyakacwamba,Karere_Nyakacwamba,2025,1,1.1,102,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
20,Uganda,Kitagwenda,standard,HWG,Nyakacwamba,Karubuguma_1,2025,1,1.1,84,1,,1,2.0,1.0,1.0,1,1.0,1,1.0,1
