region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,category,type
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-MAG-M-175320-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-NAN-M-161951-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-MUY-M-151045-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-MUK-M-160421-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-NUN-M-103217-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-KUT-M-170813-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-NAK-M-175802-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-LUW-M-090554-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-NAS-F-150459-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-NZU-M-102055-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-SEB-M-174945-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-SEN-M-181945-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-NAB-F-121423-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
Central,Rakai,Kasensero,Nakitokolo,2025,A,RAK-NAK-SET-M-150741-18,Agriculture,Agriculture 2 - Preparation & Preplanting (Day 2)
