region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,total_quantity,variety
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,1,Amaranths
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,1,Black night shade
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,1,Cabbage
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,1,Green Pepper
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,1,Nakati
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,1,Purple Eggplants
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,1,Spinach
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,1,Sukuma Wiki
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,2,Tomatoes
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_2,2025,A,KIT-NYA-TUM-M-134655-15,1,White Eggplants
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,1,Amaranths
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,1,Black night shade
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,1,Cabbage
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,1,Green Pepper
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,1,Nakati
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,1,Purple Eggplants
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,1,Spinach
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,1,Sukuma Wiki
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,2,Tomatoes
South West,Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,2025,A,KIT-RWE-EVE-M-153652-15,1,White Eggplants
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,1,Amaranths
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,1,Black night shade
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,1,Cabbage
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,1,Nakati
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,1,Purple Eggplants
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,1,Sukuma Wiki
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,1,Spinach
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,2,Tomatoes
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,1,White Eggplants
South West,Kitagwenda,Nyakacwamba,Kapapari,2025,A,KIT-KAP-BEN-M-101530-15,1,Green Pepper
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,1,Amaranths
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,1,Black night shade
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,1,Cabbage
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,1,Green Pepper
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,1,Nakati
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,1,Purple Eggplants
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,1,Spinach
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,1,Sukuma Wiki
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,2,Tomatoes
South West,Kitagwenda,Nyakacwamba,Karubuguma_2,2025,A,KIT-KAR-FLO-F-125324-15,1,White Eggplants
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,1,Amaranths
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,1,Black night shade
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,1,Cabbage
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,1,Green Pepper
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,1,Nakati
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,1,Purple Eggplants
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,1,Spinach
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,1,Sukuma Wiki
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,2,Tomatoes
South West,Kitagwenda,Nyakacwamba,Karubuguma_1,2025,A,KIT-KAR-OLI-M-143834-15,1,White Eggplants
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,1,Amaranths
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,1,Black night shade
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,1,Cabbage
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,1,Green Pepper
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,1,Nakati
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,1,Purple Eggplants
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,1,Spinach
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,1,Sukuma Wiki
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,2,Tomatoes
South West,Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,2025,A,KIT-KAR-TUR-M-090838-15,1,White Eggplants
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,1,Amaranths
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,1,Black night shade
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,1,Cabbage
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,1,Green Pepper
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,1,Nakati
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,1,Purple Eggplants
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,1,Spinach
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,1,Sukuma Wiki
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,2,Tomatoes
South West,Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,2025,A,KIT-MPA-MAR-M-123556-15,1,White Eggplants
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,1,Amaranths
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,1,Black night shade
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,1,Cabbage
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,1,Green Pepper
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,1,Nakati
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,1,Purple Eggplants
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,1,Spinach
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,1,Sukuma Wiki
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,2,Tomatoes
South West,Kitagwenda,Nyakacwamba,Nyakacwamba_1,2025,A,KIT-NYA-JAM-M-170302-15,1,White Eggplants
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,1,Amaranths
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,1,Black night shade
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,1,Cabbage
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,1,Green Pepper
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,1,Nakati
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,1,Purple Eggplants
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,1,Spinach
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,1,Sukuma Wiki
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,2,Tomatoes
South West,Kitagwenda,Bujumiro,Bujumiro_B,2025,A,KIT-BUJ-FRA-M-093423-15,1,White Eggplants
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,1,Amaranths
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,1,Black night shade
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,1,Cabbage
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,1,Green Pepper
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,1,Nakati
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,1,Spinach
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,1,Sukuma Wiki
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,2,Tomatoes
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,1,White Eggplants
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,1,Purple Eggplants
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,1,Amaranths
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,2,Black night shade
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,2,Cabbage
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,1,Green Pepper
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,1,Nakati
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,1,Purple Eggplants
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,1,Sukuma Wiki
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,2,Spinach
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,2,Tomatoes
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-MAU-F-084029-15,1,White Eggplants
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,1,Amaranths
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,1,Black night shade
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,1,Cabbage
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,1,Green Pepper
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,1,Nakati
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,1,Spinach
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,1,Sukuma Wiki
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,2,Tomatoes
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,1,White Eggplants
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JOH-M-123803-15,1,Purple Eggplants
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,1,Amaranths
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,1,Black night shade
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,1,Cabbage
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,1,Green Pepper
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,1,Nakati
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,1,Purple Eggplants
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,1,Spinach
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,1,Sukuma Wiki
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,2,Tomatoes
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,1,White Eggplants
