region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,quantity_per_household,seed,unit
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ANA-M-190041-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ASA-M-081904-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-BEN-M-142147-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-BOA-M-065444-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-CHA-M-183143-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-CHR-M-063853-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-EDG-M-140637-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-EDW-M-082247-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-FRE-M-143814-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-FRA-M-091132-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-GEO-M-180815-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-GER-M-145811-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-GIL-M-151935-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-HIL-M-191619-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JAM-M-080442-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOS-M-071551-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOS-M-092819-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JOS-M-184630-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-KEN-M-170253-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-LEV-M-073928-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MIC-M-172439-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MOS-M-150653-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-MUK-M-065816-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-NIC-M-160834-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-OSW-M-171148-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-PAU-M-091936-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-PAU-M-193252-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-PHI-M-173147-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-RIC-M-155924-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-ROB-M-101852-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-STE-M-110250-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-SUN-M-183211-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-TAN-M-073928-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-VIC-M-192141-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-WIL-M-155306-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-WIL-M-070819-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-YOW-M-184137-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-YOW-M-181822-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-STE-M-133700-15,4.0,Beans,Kgs
