region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,quantity_returned,seed,unit
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABU-M-152452,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABU-M-152452,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABD-M-133856,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABD-M-133856,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABD-M-131046,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABD-M-131046,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABE-M-144218,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABE-M-144218,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABE-M-144119,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABE-M-144119,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABI-M-163849,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ABI-M-163849,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AFR-M-163644,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AFR-M-163644,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AGA-M-160411,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AGA-M-160411,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AGU-M-110123,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AIS-M-134757,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AIS-M-134757,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ALE-M-114202,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ALE-M-114202,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ALE-M-174832,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ALE-M-174832,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ALE-M-172439,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ALE-M-172439,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ALL-M-120441,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ALL-M-120441,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AMO-M-152942,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AMO-M-152942,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ASA-M-155009,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-ASA-M-155009,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AZA-M-140441,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-AZA-M-140441,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-BAB-M-125355,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-BAB-M-125355,0.3,Irish Potatoes,Bags
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-BAB-M-122228,4.0,Beans,Kgs
Central,Rakai,Kibuuka,Kamununku,2024,B,RAK-KAM-BAB-M-122228,0.3,Irish Potatoes,Bags
