region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,tool,number_of_pieces
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Spade,6
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Secateurs,15
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Rope,0
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Plastic Drums,3
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Pick Axe,3
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Spray Pumps,3
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Jerrycans,6
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Hoes,6
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Gloves,6
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Forked Hoe,3
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,Compound Sacks,3
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Spade,10
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Secateurs,25
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Rope,0
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Plastic Drums,5
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Pick Axe,5
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Spray Pumps,5
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Jerrycans,10
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Hoes,10
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Gloves,10
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Forked Hoe,5
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-153045-15,Compound Sacks,5
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Rope,0
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Spade,14
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Secateurs,35
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Plastic Drums,7
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Pick Axe,7
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Spray Pumps,7
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Jerrycans,14
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Hoes,14
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Gloves,14
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Forked Hoe,7
South West,Kitagwenda,Bujumiro,Kanyamburara,2025,A,KIT-KAN-YES-M-194339-15,Compound Sacks,7
South West,Kitagwenda,Bujumiro,Bujumiro_A,2025,A,KIT-BUJ-JUL-M-153703-15,Plastic Drums,6
