,district_name,cluster_name,village_name,champion_type,Total_champions_designed,Total_champions_reported
0,Kitagwenda,Bujumiro,Bujumiro_A,agric champion,6,6
1,Kitagwenda,Bujumiro,Bujumiro_A,coffee champion,6,6
2,Kitagwenda,Bujumiro,Bujumiro_A,village champion,1,1
3,Kitagwenda,Bujumiro,Bujumiro_A,wash champion,6,6
4,Kitagwenda,Bujumiro,Bujumiro_B,agric champion,4,4
5,Kitagwenda,Bujumiro,Bujumiro_B,coffee champion,4,4
6,Kitagwenda,Bujumiro,Bujumiro_B,village champion,1,1
7,Kitagwenda,Bujumiro,Bujumiro_B,wash champion,4,4
8,Kitagwenda,Bujumiro,Kanyamburara,agric champion,8,7
9,Kitagwenda,Bujumiro,Kanyamburara,coffee champion,8,7
10,Kitagwenda,Bujumiro,Kanyamburara,village champion,1,1
11,Kitagwenda,Bujumiro,Kanyamburara,wash champion,8,7
12,Kitagwenda,Bujumiro,Kyarubingo,agric champion,5,5
13,Kitagwenda,Bujumiro,Kyarubingo,coffee champion,5,5
14,Kitagwenda,Bujumiro,Kyarubingo,village champion,1,1
15,Kitagwenda,Bujumiro,Kyarubingo,wash champion,5,5
16,Kitagwenda,Bujumiro,Nyabwina_Buhanda,agric champion,3,3
17,Kitagwenda,Bujumiro,Nyabwina_Buhanda,coffee champion,3,3
18,Kitagwenda,Bujumiro,Nyabwina_Buhanda,village champion,1,1
19,Kitagwenda,Bujumiro,Nyabwina_Buhanda,wash champion,3,3
20,Kitagwenda,Muyenga,Muyenga_Central,agric champion,2,2
21,Kitagwenda,Muyenga,Muyenga_Central,coffee champion,2,2
22,Kitagwenda,Muyenga,Muyenga_Central,village champion,1,1
23,Kitagwenda,Muyenga,Muyenga_Central,wash champion,2,2
24,Kitagwenda,Muyenga,Muyenga_TC,agric champion,3,3
25,Kitagwenda,Muyenga,Muyenga_TC,coffee champion,3,3
26,Kitagwenda,Muyenga,Muyenga_TC,village champion,1,1
27,Kitagwenda,Muyenga,Muyenga_TC,wash champion,3,3
28,Kitagwenda,Muyenga,Nganiko_2,agric champion,3,3
29,Kitagwenda,Muyenga,Nganiko_2,coffee champion,3,3
30,Kitagwenda,Muyenga,Nganiko_2,village champion,1,1
31,Kitagwenda,Muyenga,Nganiko_2,wash champion,3,3
32,Kitagwenda,Muyenga,Nganiko_3,agric champion,3,3
33,Kitagwenda,Muyenga,Nganiko_3,coffee champion,3,3
34,Kitagwenda,Muyenga,Nganiko_3,village champion,1,1
35,Kitagwenda,Muyenga,Nganiko_3,wash champion,3,3
36,Kitagwenda,Muyenga,Zanzibar,agric champion,3,3
37,Kitagwenda,Muyenga,Zanzibar,coffee champion,3,3
38,Kitagwenda,Muyenga,Zanzibar,village champion,1,1
39,Kitagwenda,Muyenga,Zanzibar,wash champion,3,3
40,Kitagwenda,Nganiko,Kagorogoro_A,agric champion,2,4
41,Kitagwenda,Nganiko,Kagorogoro_A,coffee champion,2,2
42,Kitagwenda,Nganiko,Kagorogoro_A,village champion,1,1
43,Kitagwenda,Nganiko,Kagorogoro_A,wash champion,2,2
44,Kitagwenda,Nganiko,Kagorogoro_B,agric champion,2,2
45,Kitagwenda,Nganiko,Kagorogoro_B,coffee champion,2,2
46,Kitagwenda,Nganiko,Kagorogoro_B,village champion,1,1
47,Kitagwenda,Nganiko,Kagorogoro_B,wash champion,2,2
48,Kitagwenda,Nganiko,Kahenda,agric champion,3,3
49,Kitagwenda,Nganiko,Kahenda,coffee champion,3,3
50,Kitagwenda,Nganiko,Kahenda,village champion,1,1
