district_name,cluster_name,village_name,tool,number_of_pieces_system,number_of_pieces_designs
Kitagwenda,Bujumiro,Bujumiro_A,Compound Sacks,6.0,6
Kitagwenda,Bujumiro,Bujumiro_A,Filters,6.0,6
Kitagwenda,Bujumiro,Bujumiro_A,Forked Hoe,6.0,6
Kitagwenda,Bujumiro,Bujumiro_A,Gloves,12.0,12
Kitagwenda,Bujumiro,Bujumiro_A,Hoes,12.0,12
Kitagwenda,Bujumiro,Bujumiro_A,Jerrycans,12.0,12
Kitagwenda,Bujumiro,Bujumiro_A,Mortar and Pestle,6.0,6
Kitagwenda,Bujumiro,Bujumiro_A,Pick Axe,6.0,6
Kitagwenda,Bujumiro,Bujumiro_A,Plastic Drums,6.0,6
Kitagwenda,Bujumiro,Bujumiro_A,Pruning saw,,60
Kitagwenda,Bujumiro,Bujumiro_A,Rope,1.0,2
Kitagwenda,Bujumiro,Bujumiro_A,Secateurs,30.0,30
Kitagwenda,Bujumiro,Bujumiro_A,Spade,12.0,12
Kitagwenda,Bujumiro,Bujumiro_A,Spray Pumps,6.0,6
Kitagwenda,Bujumiro,Bujumiro_A,Tarpaulin,60.0,60
Kitagwenda,Bujumiro,Bujumiro_A,Watering can,30.0,30
Kitagwenda,Bujumiro,Bujumiro_B,Compound Sacks,4.0,4
Kitagwenda,Bujumiro,Bujumiro_B,Filters,4.0,4
Kitagwenda,Bujumiro,Bujumiro_B,Forked Hoe,4.0,4
Kitagwenda,Bujumiro,Bujumiro_B,Gloves,8.0,8
Kitagwenda,Bujumiro,Bujumiro_B,Hoes,8.0,8
Kitagwenda,Bujumiro,Bujumiro_B,Jerrycans,8.0,8
Kitagwenda,Bujumiro,Bujumiro_B,Mortar and Pestle,4.0,4
Kitagwenda,Bujumiro,Bujumiro_B,Pick Axe,4.0,4
Kitagwenda,Bujumiro,Bujumiro_B,Plastic Drums,4.0,4
Kitagwenda,Bujumiro,Bujumiro_B,Pruning saw,,40
Kitagwenda,Bujumiro,Bujumiro_B,Rope,1.0,0
Kitagwenda,Bujumiro,Bujumiro_B,Secateurs,20.0,20
Kitagwenda,Bujumiro,Bujumiro_B,Spade,8.0,8
Kitagwenda,Bujumiro,Bujumiro_B,Spray Pumps,4.0,4
Kitagwenda,Bujumiro,Bujumiro_B,Tarpaulin,40.0,40
Kitagwenda,Bujumiro,Bujumiro_B,Watering can,20.0,20
Kitagwenda,Bujumiro,Kanyamburara,Compound Sacks,7.0,8
Kitagwenda,Bujumiro,Kanyamburara,Filters,7.0,8
Kitagwenda,Bujumiro,Kanyamburara,Forked Hoe,7.0,8
Kitagwenda,Bujumiro,Kanyamburara,Gloves,14.0,16
Kitagwenda,Bujumiro,Kanyamburara,Hoes,14.0,16
Kitagwenda,Bujumiro,Kanyamburara,Jerrycans,14.0,16
Kitagwenda,Bujumiro,Kanyamburara,Mortar and Pestle,7.0,8
Kitagwenda,Bujumiro,Kanyamburara,Pick Axe,7.0,8
Kitagwenda,Bujumiro,Kanyamburara,Plastic Drums,7.0,8
Kitagwenda,Bujumiro,Kanyamburara,Pruning saw,,80
Kitagwenda,Bujumiro,Kanyamburara,Rope,1.0,0
Kitagwenda,Bujumiro,Kanyamburara,Secateurs,35.0,40
Kitagwenda,Bujumiro,Kanyamburara,Spade,14.0,16
Kitagwenda,Bujumiro,Kanyamburara,Spray Pumps,7.0,8
Kitagwenda,Bujumiro,Kanyamburara,Tarpaulin,70.0,80
Kitagwenda,Bujumiro,Kanyamburara,Watering can,35.0,40
Kitagwenda,Bujumiro,Kyarubingo,Compound Sacks,5.0,5
Kitagwenda,Bujumiro,Kyarubingo,Filters,5.0,5
Kitagwenda,Bujumiro,Kyarubingo,Forked Hoe,5.0,5
Kitagwenda,Bujumiro,Kyarubingo,Gloves,10.0,10
Kitagwenda,Bujumiro,Kyarubingo,Hoes,10.0,10
Kitagwenda,Bujumiro,Kyarubingo,Jerrycans,10.0,10
Kitagwenda,Bujumiro,Kyarubingo,Mortar and Pestle,5.0,5
Kitagwenda,Bujumiro,Kyarubingo,Pick Axe,5.0,5
Kitagwenda,Bujumiro,Kyarubingo,Plastic Drums,5.0,5
Kitagwenda,Bujumiro,Kyarubingo,Pruning saw,,50
Kitagwenda,Bujumiro,Kyarubingo,Rope,1.0,0
Kitagwenda,Bujumiro,Kyarubingo,Secateurs,25.0,25
Kitagwenda,Bujumiro,Kyarubingo,Spade,10.0,10
Kitagwenda,Bujumiro,Kyarubingo,Spray Pumps,5.0,5
Kitagwenda,Bujumiro,Kyarubingo,Tarpaulin,50.0,50
Kitagwenda,Bujumiro,Kyarubingo,Watering can,25.0,25
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Compound Sacks,3.0,3
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Filters,3.0,3
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Forked Hoe,3.0,3
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Gloves,6.0,6
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Hoes,6.0,6
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Jerrycans,6.0,6
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Mortar and Pestle,3.0,3
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Pick Axe,3.0,3
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Plastic Drums,3.0,3
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Pruning saw,,30
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Rope,1.0,0
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Secateurs,15.0,15
Kitagwenda,Bujumiro,Nyabwina_Buhanda,Spade,6.0,6
