district,cluster,Village,Village Champion - Representatives,Agriculture Champions - Representatives,Wash Champions - Representatives,Coffee Champions - Representatives
Rakai,Kansensero,Kammengo,1,4,4,4
Rakai,Kansensero,Kisimbanyiriri,1,6,6,6
Rakai,Kansensero,Kitonezi,1,10,10,10
Rakai,Kansensero,Kiwaguzi_A,1,6,6,6
Rakai,Kansensero,Kiwaguzi_B,1,6,6,6
Rakai,Kansensero,Kyaluwakula,1,4,4,4
Rakai,Kansensero,Kyengeza_Rakai,1,12,12,12
Rakai,Kansensero,Mikunyu,1,6,6,6
Rakai,Kansensero,Nabyala,1,4,4,4
Rakai,Kansensero,Nakitokolo,1,6,6,6
Rakai,Kanoni,Kamuli,1,4,4,4
Rakai,Kanoni,Kanoni_Rakai,1,8,8,8
Rakai,Kanoni,Kikakata,1,5,5,5
Rakai,Kanoni,Mpaama,1,4,4,4
Rakai,Kyamakanaga,Kyamakanaga_A,1,7,7,7
Rakai,Kyamakanaga,Kyamakanaga_B,1,3,3,3
Rakai,Kyamakanaga,Nnongo_A,1,9,9,9
Kitagwenda,Bujumiro,Bujumiro_A,1,6,6,6
Kitagwenda,Bujumiro,Bujumiro_B,1,4,4,4
Kitagwenda,Bujumiro,Kanyamburara,1,8,8,8
Kitagwenda,Bujumiro,Kyarubingo,1,5,5,5
Kitagwenda,Bujumiro,Nyabwina_Buhanda,1,3,3,3
Kitagwenda,Nyakacwamba,Kapapari,1,5,5,5
Kitagwenda,Nyakacwamba,Karere_Nyakacwamba,1,5,5,5
Kitagwenda,Nyakacwamba,Karubuguma_1,1,4,4,4
Kitagwenda,Nyakacwamba,Karubuguma_2,1,9,9,9
Kitagwenda,Nyakacwamba,Mpanga_Nyakacwamba,1,4,4,4
Kitagwenda,Nyakacwamba,Nyakacwamba_1,1,5,5,5
Kitagwenda,Nyakacwamba,Nyakacwamba_2,1,4,4,4
Kitagwenda,Nyakacwamba,Rwengwe_Nyakacwamba,1,6,6,6
Kitagwenda,Nganiko,Kagorogoro_A,1,2,2,2
Kitagwenda,Nganiko,Kagorogoro_B,1,2,2,2
Kitagwenda,Nganiko,Kahenda,1,3,3,3
Kitagwenda,Nganiko,Kemihoko_A,1,3,3,3
Kitagwenda,Nganiko,Kemihoko_B,1,2,2,2
Kitagwenda,Nganiko,Nganiko_1,1,3,3,3
Kitagwenda,Nganiko,Nganiko_Central,1,3,3,3
Kitagwenda,Nganiko,Nganiko_TC,1,3,3,3
Kitagwenda,Muyenga,Muyenga_Central,1,2,2,2
Kitagwenda,Muyenga,Muyenga_TC,1,3,3,3
Kitagwenda,Muyenga,Nganiko_2,1,3,3,3
Kitagwenda,Muyenga,Nganiko_3,1,3,3,3
Kitagwenda,Muyenga,Zanzibar,1,3,3,3
