district,cluster,Village,champions,designed_champions
Rakai,Kansensero,Kammengo,Village.Champion...Representatives,1
Rakai,Kansensero,Kammengo,Agriculture.Champions...Representatives,4
Rakai,Kansensero,Kammengo,Wash.Champions...Representatives,4
Rakai,Kansensero,Kammengo,Coffee.Champions...Representatives,4
Rakai,Kansensero,Kisimbanyiriri,Village.Champion...Representatives,1
Rakai,Kansensero,Kisimbanyiriri,Agriculture.Champions...Representatives,6
Rakai,Kansensero,Kisimbanyiriri,Wash.Champions...Representatives,6
Rakai,Kansensero,Kisimbanyiriri,Coffee.Champions...Representatives,6
Rakai,Kansensero,Kitonezi,Village.Champion...Representatives,1
Rakai,Kansensero,Kitonezi,Agriculture.Champions...Representatives,10
Rakai,Kansensero,Kitonezi,Wash.Champions...Representatives,10
Rakai,Kansensero,Kitonezi,Coffee.Champions...Representatives,10
Rakai,Kansensero,Kiwaguzi_A,Village.Champion...Representatives,1
Rakai,Kansensero,Kiwaguzi_A,Agriculture.Champions...Representatives,6
Rakai,Kansensero,Kiwaguzi_A,Wash.Champions...Representatives,6
Rakai,Kansensero,Kiwaguzi_A,Coffee.Champions...Representatives,6
Rakai,Kansensero,Kiwaguzi_B,Village.Champion...Representatives,1
Rakai,Kansensero,Kiwaguzi_B,Agriculture.Champions...Representatives,6
Rakai,Kansensero,Kiwaguzi_B,Wash.Champions...Representatives,6
Rakai,Kansensero,Kiwaguzi_B,Coffee.Champions...Representatives,6
Rakai,Kansensero,Kyaluwakula,Village.Champion...Representatives,1
Rakai,Kansensero,Kyaluwakula,Agriculture.Champions...Representatives,4
Rakai,Kansensero,Kyaluwakula,Wash.Champions...Representatives,4
Rakai,Kansensero,Kyaluwakula,Coffee.Champions...Representatives,4
Rakai,Kansensero,Kyengeza_Rakai,Village.Champion...Representatives,1
Rakai,Kansensero,Kyengeza_Rakai,Agriculture.Champions...Representatives,12
Rakai,Kansensero,Kyengeza_Rakai,Wash.Champions...Representatives,12
Rakai,Kansensero,Kyengeza_Rakai,Coffee.Champions...Representatives,12
Rakai,Kansensero,Mikunyu,Village.Champion...Representatives,1
Rakai,Kansensero,Mikunyu,Agriculture.Champions...Representatives,6
Rakai,Kansensero,Mikunyu,Wash.Champions...Representatives,6
Rakai,Kansensero,Mikunyu,Coffee.Champions...Representatives,6
Rakai,Kansensero,Nabyala,Village.Champion...Representatives,1
Rakai,Kansensero,Nabyala,Agriculture.Champions...Representatives,4
Rakai,Kansensero,Nabyala,Wash.Champions...Representatives,4
Rakai,Kansensero,Nabyala,Coffee.Champions...Representatives,4
Rakai,Kansensero,Nakitokolo,Village.Champion...Representatives,1
Rakai,Kansensero,Nakitokolo,Agriculture.Champions...Representatives,6
Rakai,Kansensero,Nakitokolo,Wash.Champions...Representatives,6
Rakai,Kansensero,Nakitokolo,Coffee.Champions...Representatives,6
Rakai,Kanoni,Kamuli,Village.Champion...Representatives,1
Rakai,Kanoni,Kamuli,Agriculture.Champions...Representatives,4
Rakai,Kanoni,Kamuli,Wash.Champions...Representatives,4
Rakai,Kanoni,Kamuli,Coffee.Champions...Representatives,4
Rakai,Kanoni,Kanoni_Rakai,Village.Champion...Representatives,1
Rakai,Kanoni,Kanoni_Rakai,Agriculture.Champions...Representatives,8
Rakai,Kanoni,Kanoni_Rakai,Wash.Champions...Representatives,8
Rakai,Kanoni,Kanoni_Rakai,Coffee.Champions...Representatives,8
Rakai,Kanoni,Kikakata,Village.Champion...Representatives,1
Rakai,Kanoni,Kikakata,Agriculture.Champions...Representatives,5
Rakai,Kanoni,Kikakata,Wash.Champions...Representatives,5
Rakai,Kanoni,Kikakata,Coffee.Champions...Representatives,5
Rakai,Kanoni,Mpaama,Village.Champion...Representatives,1
Rakai,Kanoni,Mpaama,Agriculture.Champions...Representatives,4
Rakai,Kanoni,Mpaama,Wash.Champions...Representatives,4
Rakai,Kanoni,Mpaama,Coffee.Champions...Representatives,4
Rakai,Kyamakanaga,Kyamakanaga_A,Village.Champion...Representatives,1
Rakai,Kyamakanaga,Kyamakanaga_A,Agriculture.Champions...Representatives,7
Rakai,Kyamakanaga,Kyamakanaga_A,Wash.Champions...Representatives,7
Rakai,Kyamakanaga,Kyamakanaga_A,Coffee.Champions...Representatives,7
Rakai,Kyamakanaga,Kyamakanaga_B,Village.Champion...Representatives,1
Rakai,Kyamakanaga,Kyamakanaga_B,Agriculture.Champions...Representatives,3
Rakai,Kyamakanaga,Kyamakanaga_B,Wash.Champions...Representatives,3
Rakai,Kyamakanaga,Kyamakanaga_B,Coffee.Champions...Representatives,3
Rakai,Kyamakanaga,Nnongo_A,Village.Champion...Representatives,1
Rakai,Kyamakanaga,Nnongo_A,Agriculture.Champions...Representatives,9
Rakai,Kyamakanaga,Nnongo_A,Wash.Champions...Representatives,9
Rakai,Kyamakanaga,Nnongo_A,Coffee.Champions...Representatives,9
